Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
CDAK,21.9,15.81173982,2.99,Buy,191494,411573784,,,,Health Technology
CDEV,1.65,5.76923077,0.09,Buy,4821065,459262650,,-2.1158,195,Energy Minerals
CDMO,11.68,-0.68027211,-0.08,Buy,326163,708851289,,-0.0934,222,Health Technology
CDXC,5.11,4.71311475,0.23,Buy,214993,315117270,,-0.3764,110,Process Industries
CDXS,23.26,-0.64075182,-0.15,Buy,561905,1481758425,,-0.3515,161,Process Industries
CDZI,10.17,7.27848101,0.69,Buy,190734,361838938,,-1.1953,9,Utilities
CEL,4.939,-2.39130435,-0.121,Buy,9890,803945725,,-0.37490863,3265,Communications
CENTA,34.8,0.89881125,0.31,Sell,70055,1907980107,15.56548425,2.2469,6300,Consumer Non-Durables
CENX,10.655,2.55052936,0.265,Buy,385909,953460544,,-1.035,2079,Non-Energy Minerals
CEPU,2.68,0,0,Buy,101066,405757000,,,,Utilities
CEQP,20.03,0.80523402,0.16,Buy,324266,1484208217,,-1.3176,894,Industrial Services
CERS,8.38,-2.10280374,-0.18,Strong Buy,1690885,1395635700,,-0.3983,254,Health Technology
CEVA,40.89,0.7390983,0.3,Strong Buy,41859,910255682,33825,0.004,382,Electronic Technology
CFACU,10.45,-0.09560229,-0.01,Buy,2868,305955000,,,,Finance
CFB,10.74,5.29411765,0.54,Strong Buy,118837,560582892,143.86459803,0.073,357,Finance
CFFN,12.295,1.77980132,0.215,Buy,153300,1706447640,25.83404619,0.4677,793,Finance
CFII,12.045,0.20798669,0.025,Strong Buy,2251856,784063125,,,,Finance
CFIIU,12.84,0.54815975,0.07,Buy,52302,836116000,,,,Finance
CGBD,11.02,0.91575092,0.1,Buy,223057,620520772,,-0.0947,,Finance
CGEN,13.72,-3.31219168,-0.47,Buy,970292,1136795296,,-0.3671,61,Health Technology
CGRO,15.85,7.09459459,1.05,Buy,5281042,302013563,,,,Finance
