Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
SFBS,40.34,1.30587644,0.52,Buy,114852,2173321712,13.52305916,2.9673,505,Finance
SFIX,69.29,-3.29378925,-2.36,Buy,2274600,7267956664,,-0.5572,8000,Retail Trade
SFM,20.55,1.68233548,0.34,Buy,548255,2425052000,9.5204447,2.1287,30000,Retail Trade
SFNC,21.125,3.04878049,0.625,Buy,122816,2299371750,8.87253841,2.3178,3270,Finance
SGMO,18.2499,1.72742475,0.3099,Strong Buy,2343603,2588370300,,-0.6,354,Health Technology
SGMS,42.37,1.97352587,0.82,Strong Buy,237291,4034723671,,-5.5223,9800,Consumer Services
SHAK,87.71,-0.431377,-0.38,Buy,296425,3365338880,,-0.6695,7603,Consumer Services
SHC,26.96,-1.4619883,-0.4,Buy,840784,7485115360,,,,Health Technology
SHEN,43.44,1.18798043,0.51,Sell,55799,2170822758,23.63466197,1.8237,1130,Communications
SHLX,10.105,2.07070707,0.205,Sell,672382,3974195450,7.66372503,1.3651,,Industrial Services
SHO,11.175,2.42896425,0.265,Buy,1312834,2352590000,,-1.5509,47,Finance
SHOO,34.8847,1.20307514,0.4147,Buy,192863,2905054164,,-0.2956,4000,Consumer Non-Durables
SID,5.86,0.68728522,0.04,Buy,1264685,8032240000,37.52417795,0.1551,38304,Non-Energy Minerals
SIGI,66.47,0.03009782,0.02,Buy,79061,3977212509,19.87141148,3.3689,2400,Finance
SILK,63.4,2.4894924,1.54,Strong Buy,91323,2152994260,,-1.2071,224,Health Technology
SINA,43.1601,1.57707696,0.6701,Buy,597222,2582567880,,-1.4283,8300,Technology Services
SITE,156.345,-0.73333333,-1.155,Buy,137524,6915295695,61.6317746,2.6395,4600,Distribution Services
SIX,33.84,4.7029703,1.52,Buy,826065,2877749492,,-4.1162,2450,Consumer Services
SJI,21.51,0.98591549,0.21,Sell,599307,2164696800,15.34913886,1.3896,1100,Utilities
SJIU,37.68,1.59072526,0.59,Sell,2828,3730880000,,,1100,Utilities
SJR,17.4,0.51993068,0.09,Sell,779492,8882008496,17.10325662,1.01208795,9500,Consumer Services
SKX,36.685,1.2558653,0.455,Buy,276917,5771498168,53.64228605,0.6822,13100,Consumer Non-Durables
SKYW,40.785,2.99242424,1.185,Buy,126725,2047725768,18.22365393,2.1936,13700,Transportation
SLAB,125.97,0.5186722,0.65,Buy,66173,5525758592,421.8108381,0.3055,1545,Electronic Technology
SLG,56.475,0.9383378,0.525,Neutral,688776,4001240000,22.7097455,2.6001,1033,Finance
SLGN,36.61,0.79845815,0.29,Strong Buy,204416,4041954850,14.28515241,2.5559,13100,Process Industries
SLM,12.31,-0.40453074,-0.05,Buy,2830352,4619179780,8.79214682,1.4183,1900,Finance
SLQT,22.19,-0.9817046,-0.22,Buy,968737,3608804080,,,1900,Finance
SMAR,72.71,-1.55699973,-1.15,Buy,471355,8888652080,,-0.9582,1588,Technology Services
SMPL,28.77,0.52410901,0.15,Strong Buy,1220928,2752825803,83.07692308,0.361,300,Consumer Non-Durables
SMTC,71.48,-0.30683403,-0.22,Buy,109239,4646435884,100.43423449,0.7229,1388,Electronic Technology
SNA,168.255,0.42676376,0.715,Sell,133210,9119437866,15.65852929,10.8048,12800,Consumer Durables
SNBR,82.6,-1.29063098,-1.08,Buy,257933,2287454370,23.76597558,3.6384,4476,Consumer Durables
SNDR,20.85,0.82205029,0.17,Sell,229912,3697564020,19.24795235,1.0764,15650,Transportation
SNV,32.58,2.64650284,0.84,Buy,415530,4815519480,13.76051331,2.3228,5389,Finance
SNX,82.385,1.54690004,1.255,Buy,135065,4248272964,8.55982275,9.5418,235000,Distribution Services
SON,59.39,0.0673968,0.04,Buy,215589,5967782310,22.74556394,2.619,23000,Process Industries
SONO,25.045,-0.85114806,-0.215,Buy,1832466,2829099360,,-0.1832,1427,Electronic Technology
SPB,75.37,1.41280947,1.05,Buy,310796,3247120488,35.64850345,2.0992,12100,Consumer Durables
SPCE,26.485,3.98508049,1.015,Buy,15089027,6206547870,,-1.3074,906,Electronic Technology
SPR,38.34,4.32653061,1.59,Buy,3082400,4055404430,,-4.8773,18200,Electronic Technology
SPSC,110.47,0.33605813,0.37,Buy,98949,3903387840,96.23284678,1.1756,1363,Technology Services
SPT,51.06,-7.9668349,-4.42,Buy,556945,2698598210,,-1.0373,302,Technology Services
SPWR,29.99,-2.15334421,-0.66,Buy,6335650,5099695200,85.13888889,0.4035,8400,Producer Manufacturing
SPXC,53.565,-0.13982103,-0.075,Buy,94535,2398817465,22.6807611,2.4292,4500,Producer Manufacturing
SQM,49.4,-0.68355448,-0.34,Buy,891352,5987550000,80.47241547,0.6181,5741,Process Industries
SR,63.42,0.49120583,0.31,Sell,93106,3276048888,43.53915143,1.4593,3583,Utilities
SRC,39.48,-1.32466883,-0.53,Buy,400465,4352250000,,-0.0872,85,Finance
SRCL,69.635,0.97882831,0.675,Buy,177700,6368391900,,-3.5614,19500,Industrial Services
SRNE,8.5999,19.11218837,1.3799,Buy,38278611,2283616530,,-1.4552,310,Health Technology
SSB,74.37,3.29166667,2.37,Buy,78373,5279367177,46.82622268,1.5582,2547,Finance
SSD,92.58,-0.55853921,-0.52,Buy,50968,4020396685,22.06527149,4.2387,3337,Producer Manufacturing
SSL,8.81,5.76230492,0.48,Buy,714260,5111550000,,-8.5912,31001,Process Industries
SSRM,19.4146,2.72275132,0.5146,Buy,478860,4259932110,38.57835422,0.49298147,1926,Non-Energy Minerals
SSTK,71.59,-2.62513602,-1.93,Buy,81138,2591009731,52.90731146,1.4048,1116,Technology Services
ST,52.25,2.97595585,1.51,Strong Buy,736850,8219447500,84.03444849,0.6088,21050,Electronic Technology
STAA,81.05,1.61735206,1.29,Strong Buy,664677,3732588310,424.93340437,0.1987,550,Health Technology
STAG,30.79,-1.97389366,-0.62,Buy,605658,4687310000,38.91711064,0.8088,72,Finance
STAY,13.965,1.416122,0.195,Buy,278335,2445010000,,,7900,Consumer Services
STEP,36.95,1.95916115,0.71,Buy,118581,3490663226,1917.46031746,0.0189,,Finance
STL,18.19,5.44927536,0.94,Buy,2060846,3539313810,13.66336634,1.2647,,Finance
STLD,36.3,-0.11007155,-0.04,Buy,605222,7644736780,16.03636203,2.2779,8385,Non-Energy Minerals
STMP,218.62,2.55664493,5.45,Buy,270923,3982355842,26.41282664,8.7488,1313,Commercial Services
STN,32.18,0.3117207,0.1,Buy,19103,3606385680,24.4624422,1.31611454,22000,Industrial Services
STOK,59.28,-1.06809079,-0.64,Buy,149587,2132319384,,-1.4489,56,Health Technology
STOR,32.85,-0.84515545,-0.28,Buy,922777,8699740000,37.46889844,0.8851,97,Finance
STRA,96.88,4.03780069,3.76,Buy,133073,2363889549,18.95958465,4.9694,3076,Consumer Services
STTK,53.68,1.24481328,0.66,Buy,168852,2218495509,,,,Health Technology
STWD,19.79,2.80519481,0.54,Buy,1229318,5480240000,14.07369498,1.3865,296,Finance
SUM,19.51,2.03974895,0.39,Buy,486131,2226637280,15.80949231,1.2156,6000,Non-Energy Minerals
SUMO,32.74,-2.67538644,-0.9,Buy,750764,3350402910,,-1.1253,,Technology Services
SUN,28.724,0.89216719,0.254,Buy,195158,2384826694,17.93498803,1.6152,2909,Distribution Services
SUZ,10.87,-3.11942959,-0.35,Strong Buy,148184,7569110000,,-4.9222,35000,Process Industries
SVMK,25.455,1.41434263,0.355,Buy,385066,3620031915,,-0.6853,1220,Technology Services
SWAV,102.865,0.79862812,0.815,Strong Buy,124695,3522250038,,-2.0295,284,Health Technology
SWI,16.08,1.19572058,0.19,Sell,4104158,5046623536,129.08204712,0.125,3251,Technology Services
SWTX,77.32,-0.77002053,-0.6,Buy,141654,3783603212,,-1.7312,56,Health Technology
