Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
DHR,222,-0.41717131,-0.93,Sell,928086,157696590230,51.50639989,4.3999,60000,Health Technology
DIS,174.829,2.56908184,4.379,Buy,7731410,316953793948,,-1.5805,203000,Consumer Services
DISCA,28.3419,4.1598677,1.1319,Buy,2291325,14376024130,13.26152646,2.4397,9200,Consumer Services
DISCK,24.88,4.27493713,1.02,Buy,1101813,12616729341,11.62881372,2.4397,9200,Consumer Services
DISH,30.95,7.16759003,2.07,Sell,4416467,16297062955,11.75800016,2.7327,16000,Consumer Services
DKNG,54.3639,3.74790076,1.9639,Strong Buy,11829096,21254440811,,-1.5209,,Technology Services
DLR,137.35,-0.8589577,-1.19,Sell,1158136,38814100000,56.16410589,2.487,1550,Finance
DLTR,108,-0.89924757,-0.98,Buy,983608,25380744680,26.93324766,4.0604,193100,Retail Trade
DNB,26.92,-0.14836795,-0.04,Buy,253442,11379749100,,-1.0551,4215,Technology Services
DNLI,88.73,-5.16246259,-4.83,Buy,965631,10612743000,,-2.2167,261,Health Technology
DOCU,247.25,-1.72893482,-4.35,Buy,1457141,46079579000,,-1.1864,3909,Technology Services
DOV,124.23,0.63998704,0.79,Buy,363879,17891828480,26.87216998,4.639,24000,Producer Manufacturing
DOW,55.1322,0.84543625,0.4622,Buy,1487985,40952127920,,-3.1657,36500,Process Industries
DPZ,403.79,1.27156902,5.07,Buy,325353,15900792751,34.17473065,11.9109,13100,Consumer Services
DRE,38.89,-1.31946207,-0.52,Buy,776630,14658600000,67.40208654,0.5856,400,Finance
DRI,120.255,0.51404213,0.615,Strong Buy,778948,15655248000,,-0.9259,177000,Consumer Services
DT,43.99,-1.16827679,-0.52,Buy,793605,12412268000,160.3963964,0.2824,2243,Technology Services
DTE,118.68,-0.20181635,-0.24,Sell,419803,22985250000,16.83942226,7.0695,10700,Utilities
DTP,46.76,-0.31976124,-0.15,Sell,283039,23018200000,6.64259417,7.0695,10700,Utilities
DUK,89.36,-0.18988049,-0.17,Sell,1076452,65750577060,32.74808881,2.7384,28793,Utilities
DVA,115.21,0.02604619,0.03,Buy,253464,12913600000,17.47587546,6.6939,65000,Health Services
DXCM,358.41,1.18002428,4.18,Buy,453174,34422053496,146.77633215,2.476,5200,Health Technology
E,20.77,2.61857708,0.53,Buy,164868,35864800000,,-6.0226,32053,Energy Minerals
EA,141.7,1.62805709,2.27,Buy,1195309,41103910900,31.0548354,4.5338,9800,Consumer Durables
EBAY,51.535,-0.16466486,-0.085,Buy,3287453,35518140450,7.19031633,7.2354,13300,Consumer Services
EC,13.145,1.03766334,0.135,Buy,345028,26746400000,18.44343635,0.7054,15157,Energy Minerals
ECL,214.655,-0.25788764,-0.555,Buy,271012,61270769250,,-3.727,50200,Process Industries
ED,70.08,0.61737258,0.43,Sell,1424283,23989173920,17.23114223,4.0539,14890,Utilities
EDU,171.17,0.68823529,1.17,Buy,324923,28928200000,73.40875723,2.324,81127,Consumer Services
EFX,193.005,-0.52826882,-1.025,Buy,126849,23489263300,53.92718177,3.6395,11200,Commercial Services
EIX,61.49,0.27723418,0.17,Neutral,394336,23316462400,62.39951155,0.9874,12937,Utilities
EL,260,0.98656102,2.54,Buy,382077,94017411540,156.47259025,1.6928,48000,Consumer Non-Durables
ELAN,30.46,0.82754055,0.25,Buy,1004034,14360373450,,-0.5677,5760,Process Industries
ELS,60.53,-2.08670333,-1.29,Sell,320167,11265100000,51.49092121,1.2025,,Finance
EMN,101.36,0.38625334,0.39,Buy,260881,13737809880,29.18461138,3.4779,14500,Process Industries
EMR,80.19,1.08407916,0.86,Buy,1319129,47956747410,24.44834813,3.2631,83500,Producer Manufacturing
ENB,32.165,0.830721,0.265,Buy,2862767,65141201300,44.50639753,0.72333895,11300,Industrial Services
ENIA,8.19,0.86206897,0.07,Strong Buy,338103,12356400000,9.76430976,0.8316,17295,Utilities
ENPH,179.9,1.48361257,2.63,Buy,2058789,22681826820,138.57879925,1.4454,577,Electronic Technology
ENTG,96.255,-1.37807377,-1.345,Buy,265402,12994329920,50.03845168,1.9716,5300,Electronic Technology
